Type,Message,Love
ham,"&lt;#&gt; , that's all? Guess that's easy enough",0
ham,* Will have two more cartons off u and is very pleased with shelves,0
ham,Actually i deleted my old website..now i m blogging at magicalsongs.blogspot.com,0
ham,And also I've sorta blown him off a couple times recently so id rather not text him out of the blue looking for weed,0
ham,And popping &lt;#&gt; ibuprofens was no help.,0
ham,Ard 6 like dat lor.,0
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",1
ham,Babe !!!! I LOVE YOU !!!! *covers your face in kisses*,1
ham,Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx,0
ham,"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",0
ham,"Call me da, i am waiting for your call.",0
ham,Carlos says he'll be at mu in  &lt;#&gt;  minutes,0
spam,"Congrats! 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid your mates, play java games, Dload polyPH music, noline rentl.",0
ham,Congratulations ore mo owo re wa. Enjoy it and i wish you many happy moments to and fro wherever you go,0
ham,Dear are you angry i was busy dear,0
ham,Dhoni have luck to win some big title.so we will win:),0
ham,Ee msg na poortiyagi odalebeku: Hanumanji 7 name 1-Hanuman 2-Bajarangabali 3-Maruti 4-Pavanaputra 5-Sankatmochan 6-Ramaduth 7-Mahaveer ee 7 name  &lt;#&gt;  janarige ivatte kalisidare next saturday olage ondu good news keluviri...! Maretare inde 1 dodda problum nalli siguviri idu matra  &lt;#&gt; % true.. Don't neglet.,0
ham,Except theres a chick with huge boobs.,0
spam,FREE camera phones with linerental from 4.49/month with 750 cross ntwk mins. 1/2 price txt bundle deals also avble. Call 08001950382 or call2optout/J MF,0
ham,God's love has no limit. God's grace has no measure. God's power has no boundaries. May u have God's endless blessings always in ur life...!! Gud ni8,0
ham,Going to join tomorrow.,0
ham,"Good afternoon, my love ... How goes your day ? How did you sleep ? I hope your well, my boytoy ... I think of you ...",1
ham,Good Morning plz call me sir,0
ham,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.,0
spam,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,0
ham,Haha... can... But i'm having dinner with my cousin...,0
ham,Hahaha..use your brain dear,0
ham,HARD BUT TRUE: How much you show &amp;  express your love to someone....that much it will hurt when they leave you or you get seperated...!鈥┾??〨ud evening...,1
ham,Have a safe trip to Nigeria. Wish you happiness and very soon company to share moments with,0
ham,"HEY THERE BABE, HOW U DOIN? WOT U UP 2 2NITE LOVE ANNIE X.",1
ham,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx,1
ham,Hi its in durban are you still on this number,0
spam,"Hi ya babe x u 4goten bout me?' scammers getting smart..Though this is a regular vodafone no, if you respond you get further prem rate msg/subscription. Other nos used also. Beware!",0
ham,"Hmm well, night night",0
ham,Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...,0
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0
ham,I'm wif him now buying tix lar...,0
ham,I called but no one pick up e phone. I ask both of them already they said ok.,0
ham,I dont have i shall buy one dear,0
ham,"I haven't forgotten you, i might have a couple bucks to send you tomorrow, k? I love ya too",1
ham,I know you are serving. I mean what are you doing now.,0
ham,I love to give massages. I use lots of baby oil... What is your fave position?,0
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!",0
ham,I went to project centre,0
ham,"I wonder if your phone battery went dead ? I had to tell you, I love you babe",1
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,0
ham,"It‘s reassuring, in this crazy world.",0
ham,"Just gettin a bit arty with my collages at the mo, well tryin 2 ne way! Got a roast in a min lovely i shall enjoy that!",0
ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates,0
ham,K I'll call you when I'm close,0
ham,"K, if u bored up just come to my home..",0
ham,"K, wait chikku..il send aftr  &lt;#&gt; mins",0
ham,Life spend with someone for a lifetime may be meaningless but a few moments spent with someone who really love you means more than life itself..,0
ham,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,0
ham,"Love isn't a decision, it's a feeling. If we could decide who to love, then, life would be much simpler, but then less magical",0
ham,Love you aathi..love u lot..,1
ham,Lovely smell on this bus and it ain't tobacco...,0
ham,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you,1
ham,My slave! I want you to take 2 or 3 pictures of yourself today in bright light on your cell phone! Bright light!,0
ham,"Neither [in sterm voice] - i'm studying. All fine with me! Not sure the  thing will be resolved, tho. Anyway. Have a fab hols",0
ham,Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx,1
ham,No one interested. May be some business plan.,0
ham,No probably  &lt;#&gt; %.,0
